r,l,t,s,i
6933.423532,381,8.897151,0,2
218.366328,204,17.303958,0,2
137153.952013,256,24.976626,0,2
248.654773,256,33.840984,0,2
334988.917318,257,41.925064,1,2
195898.959441,304,50.607054,1,2
83430.335976,305,58.642105,0,2
115.997635,117,66.200979,0,2
110135.539655,1025,80.548211,0,2
155016.642227,441,90.512893,1,2
247706.05828,297,99.143834,1,2
273270.158468,259,108.129795,1,2
136651.446133,328,117.833497,1,2
829.142931,732,131.300441,0,2
165384.734455,347,140.281996,1,2
622.93005,524,151.619708,0,2
173730.000496,661,164.318539,0,2
197829.533969,480,174.999078,1,2
785.03502,278,183.994075,0,2
606.307478,532,195.556454,0,2
